City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,madinat ash shamal,26.1293,51.2009,32.77,65,0,3.47,QA,1693438570
218,lihue,21.9789,-159.3672,29.77,73,40,6.69,US,1693438484
219,guerrero negro,27.9769,-114.0611,27.11,57,97,5.77,MX,1693438571
220,dondo,-19.6094,34.7431,16.73,90,0,0.4,MZ,1693438572
221,shimanovsk,52.0,127.7,12.86,97,94,2.81,RU,1693438572
222,nabire,-3.3667,135.4833,27.01,85,51,0.84,ID,1693438573
223,okhotsk,59.3833,143.3,17.29,81,24,2.2,RU,1693438574
224,cape coast,5.1053,-1.2466,24.11,94,82,4.33,GH,1693438574
225,chui,-33.6971,-53.4616,12.36,80,44,2.71,UY,1693438575
226,katsuura,35.1333,140.3,28.05,74,100,4.57,JP,1693438575
227,klaksvik,62.2266,-6.589,9.51,78,100,3.87,FO,1693438576
228,magadan,59.5667,150.8,15.85,85,33,3.76,RU,1693438577
229,kristiansund,63.1115,7.732,13.03,93,6,0.0,NO,1693438577
230,urangan,-25.3,152.9,18.66,78,13,2.96,AU,1693438578
231,tieling,42.2931,123.8414,20.31,74,42,2.77,CN,1693438579
232,salalah,17.0151,54.0924,27.05,94,75,2.06,OM,1693438579
233,la'ie,21.6477,-157.9253,31.98,70,8,1.79,US,1693438580
234,codrington,-38.2667,141.9667,13.4,84,76,7.49,AU,1693438580
235,ancud,-41.8697,-73.8203,7.48,75,100,4.79,CL,1693438581
236,kununurra,-15.7667,128.7333,25.99,29,20,0.0,AU,1693438582
237,bulgan,48.8125,103.5347,15.73,75,100,0.76,MN,1693438582
238,portland,45.5234,-122.6762,26.99,52,75,3.6,US,1693438330
239,jiuquan,39.7432,98.5174,22.41,39,99,2.01,CN,1693438584
240,mogocha,53.7333,119.7667,18.1,58,29,1.5,RU,1693438584
241,yantai,37.5333,121.4,22.69,67,0,2.36,CN,1693438585
242,katabu,-4.9333,122.5167,26.5,57,46,3.58,ID,1693438586
243,pisco,-13.7,-76.2167,20.03,77,2,9.26,PE,1693438586
244,ust-nera,64.5667,143.2,14.77,92,100,4.82,RU,1693438587
245,sheridan,44.8333,-106.9173,32.21,25,0,0.89,US,1693438588
246,fernley,39.608,-119.2518,32.93,13,0,2.06,US,1693438588
247,nuuk,64.1835,-51.7216,5.34,87,75,6.71,GL,1693438589
248,atherton,53.5237,-2.4935,13.57,90,86,0.98,GB,1693438590
249,ende,-8.8432,121.6623,26.24,54,38,0.54,ID,1693438591
250,new norfolk,-42.7826,147.0587,12.72,75,100,4.17,AU,1693438592
251,grand baie,-20.0182,57.5802,21.26,69,73,0.45,MU,1693438592
252,churapcha,62.0025,132.4325,21.45,52,35,3.65,RU,1693438593
253,port mathurin,-19.6833,63.4167,21.96,72,37,3.86,MU,1693438594
254,port saint john's,-31.6229,29.5448,20.46,39,0,3.01,ZA,1693438594
255,ovalle,-30.5983,-71.2003,19.18,37,0,1.73,CL,1693438152
256,egilsstadir,65.2653,-14.3948,7.95,93,100,2.57,IS,1693438596
257,novoagansk,61.9449,76.6625,13.15,81,99,4.95,RU,1693438597
258,sosnovo-ozerskoye,52.5249,111.5418,13.92,60,0,0.61,RU,1693438598
259,dolisie,-4.1997,12.6739,21.44,87,38,1.77,CG,1693438598
260,auki,-8.7676,160.7034,26.9,87,100,2.95,SB,1693438599
261,tolanaro,-25.0319,46.9987,19.04,82,40,5.14,MG,1693438600
262,barguzin,53.6167,109.6167,18.94,57,6,1.03,RU,1693438601
263,puerto armuelles,8.2833,-82.8667,30.99,86,67,2.67,PA,1693438601
264,abaza,52.655,90.0928,15.96,97,100,1.41,RU,1693438602
265,santa rita do passa quatro,-21.7103,-47.4781,19.0,56,29,1.5,BR,1693438602
266,onguday,50.75,86.15,11.57,90,18,1.57,RU,1693438603
267,dryden,49.7833,-92.7503,21.16,60,0,1.03,CA,1693438604
268,taoudenni,22.6783,-3.9836,38.16,23,3,3.61,ML,1693438604
269,ziro,27.6333,93.8333,14.66,97,30,0.67,IN,1693438605
270,changde,29.0464,111.6783,22.74,77,0,1.94,CN,1693438605
271,mount gambier,-37.8333,140.7667,12.61,87,80,4.69,AU,1693438607
272,plastun,44.7561,136.2939,15.93,98,100,2.54,RU,1693438608
273,tafresh,34.692,50.013,17.95,29,0,0.64,IR,1693438608
274,sterlibashevo,53.4376,55.2578,9.75,64,72,6.46,RU,1693438609
275,itoman,26.1247,127.6694,30.43,84,20,5.66,JP,1693438610
276,yanam,16.7333,82.2167,25.61,83,90,1.09,IN,1693438610
277,pasni,25.2631,63.471,26.12,84,62,3.48,PK,1693438611
278,conduaga,8.862,117.4893,27.96,81,100,3.57,PH,1693438612
279,ballina,-28.8667,153.5667,21.55,58,55,0.89,AU,1693438612
280,agat village,13.3886,144.6585,29.64,88,40,2.57,GU,1693438613
281,gereshk,31.8209,64.5701,27.95,14,0,3.41,AF,1693438613
282,igarka,67.4667,86.5833,3.55,89,25,4.23,RU,1693438614
283,chulucanas,-5.0925,-80.1625,25.54,58,2,5.41,PE,1693438615
284,lepsy,46.235,78.9456,22.29,44,99,9.08,KZ,1693438615
285,bonthe,7.5264,-12.505,24.91,85,99,1.41,SL,1693438616
286,jeddah,21.5169,39.2192,33.92,38,20,3.6,SA,1693438140
287,mizdah,31.4451,12.9801,27.99,36,56,1.29,LY,1693438617
288,ujae,8.9322,165.7642,28.7,78,70,6.14,MH,1693438618
289,acarau,-2.8856,-40.12,25.39,83,0,6.54,BR,1693438619
290,lincheng,19.9078,109.6858,27.35,81,59,4.07,CN,1693438619
291,nouadhibou,20.931,-17.0347,25.99,65,51,4.12,MR,1693438620
292,santana,-0.0583,-51.1817,30.1,66,20,4.12,BR,1693438620
293,badger,64.8,-147.5333,14.43,89,100,3.09,US,1693438621
294,kingston,17.997,-76.7936,31.8,63,20,8.75,JM,1693438127
295,neya,58.2972,43.8681,9.72,93,6,1.15,RU,1693438622
296,winneba,5.3511,-0.6231,24.12,93,86,5.14,GH,1693438623
297,saipan,15.1355,145.701,28.39,94,100,3.09,MP,1693438623
298,arraias,-12.9288,-46.9437,24.69,64,79,0.99,BR,1693438624
299,coxim,-18.5067,-54.76,32.4,35,73,1.09,BR,1693438325
300,rongelap,11.1635,166.8941,28.83,76,100,7.07,MH,1693438625
301,mandera,3.9366,41.867,25.0,61,84,6.74,KE,1693438626
302,siwa oasis,29.2041,25.5195,29.61,50,1,7.35,EG,1693438627
303,staryye ozinki,51.1786,49.6769,12.27,56,0,3.59,RU,1693438627
304,dalandzadgad,43.5708,104.425,20.79,27,98,3.03,MN,1693438628
305,burton upon trent,52.8073,-1.6426,12.15,87,87,2.29,GB,1693438629
306,hasaki,35.7333,140.8333,29.22,75,100,5.25,JP,1693438630
307,palamas,39.4667,22.0833,23.9,66,3,2.13,GR,1693438631
308,isangel,-19.55,169.2667,25.06,88,100,4.63,VU,1693438454
309,coquimbo,-29.9533,-71.3436,14.85,77,0,3.6,CL,1693438632
310,souillac,-20.5167,57.5167,21.21,68,20,4.12,MU,1693438633
311,paita,-5.0892,-81.1144,20.62,83,2,7.32,PE,1693438634
312,senanga,-16.1167,23.2667,12.69,40,0,2.59,ZM,1693438634
313,batalha,-9.6778,-37.1247,21.45,87,0,3.99,BR,1693438635
314,poltavka,54.3663,71.7632,10.65,78,31,3.69,RU,1693438635
315,talcahuano,-36.7167,-73.1167,10.82,71,0,2.57,CL,1693438636
316,yelizovo,53.1873,158.3805,18.08,67,0,3.13,RU,1693438637
317,bandrele,-12.9067,45.1914,22.86,88,0,1.54,YT,1693438637
318,kalispell,48.1958,-114.3129,13.7,88,100,4.12,US,1693438638
319,mili,6.0815,171.735,28.69,75,41,3.65,MH,1693438638
320,prado,-17.3411,-39.2208,23.78,94,36,2.88,BR,1693438639
321,mejit,10.2753,170.8646,28.72,71,42,6.53,MH,1693438640
322,palau,7.503,134.621,28.98,79,75,2.57,PW,1693438640
323,weligama,5.9667,80.4167,25.54,88,100,5.14,LK,1693438641
324,flying fish cove,-10.4217,105.6791,23.82,94,75,4.12,CX,1693438642
325,chiras,35.4167,65.9823,10.09,43,3,1.24,AF,1693438643
326,limon,10.0,-83.0333,29.94,79,40,0.0,CR,1693438509
327,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1693438644
328,jirja,26.3383,31.8916,30.12,26,0,2.57,EG,1693438645
329,neiafu,-18.65,-173.9833,25.38,69,40,5.66,TO,1693438646
330,chibougamau,49.9168,-74.3659,11.79,54,100,5.14,CA,1693438646
331,tomatlan,19.9333,-105.25,28.99,83,72,1.64,MX,1693438647
332,tarija,-21.5355,-64.7296,19.95,40,29,5.14,BO,1693438647
333,bokovskaya,49.229,41.8306,15.27,39,0,2.07,RU,1693438648
334,val-d'or,48.1002,-77.7828,13.05,54,75,6.17,CA,1693438372
335,qa'en,33.7265,59.1844,17.7,54,4,3.45,IR,1693438649
336,cole harbour,44.6724,-63.4751,21.66,98,100,8.23,CA,1693438578
337,nova vicosa,-17.8919,-39.3719,23.72,95,51,3.37,BR,1693438650
338,port lincoln,-34.7333,135.8667,13.77,72,100,4.37,AU,1693438652
339,orchard homes,46.8633,-114.0484,16.33,62,98,2.68,US,1693438653
340,awjilah,29.1081,21.2869,26.78,40,4,5.08,LY,1693438653
341,ceerigaabo,10.6162,47.368,17.64,64,26,6.7,SO,1693438654
342,martigny-ville,46.1028,7.0725,14.68,92,84,0.97,CH,1693438655
343,motueka,-41.1333,173.0167,13.39,53,2,1.43,NZ,1693438656
344,el hadjira,32.6134,5.5126,29.09,43,2,5.4,DZ,1693438656
345,burang,30.25,81.1667,8.34,85,0,0.48,CN,1693438657
346,elva,58.2225,26.4211,18.08,96,100,4.63,EE,1693438658
347,oebisfelde,52.4333,10.9833,13.98,93,100,4.89,DE,1693438658
348,shimoda,34.6667,138.95,30.61,72,100,1.93,JP,1693438659
349,weiser,44.251,-116.9693,26.11,34,9,1.79,US,1693438659
350,la mira tumbiscatio,18.6833,-102.2833,27.92,81,95,1.73,MX,1693438660
351,plettenberg bay,-34.0527,23.3716,17.33,60,12,2.08,ZA,1693438661
352,yemetsk,63.4721,41.7941,10.47,93,84,1.49,RU,1693438661
353,queenstown,-31.8976,26.8753,14.06,28,0,2.9,ZA,1693438662
354,nizhniy kuranakh,58.8353,125.4869,19.72,63,1,0.62,RU,1693438662
355,saynshand,44.8824,110.1163,16.21,61,3,4.35,MN,1693438663
356,wajir,1.7471,40.0573,23.36,68,20,5.87,KE,1693438664
357,mount isa,-20.7333,139.5,19.87,37,0,6.69,AU,1693438664
358,worland,44.0169,-107.9554,32.0,10,0,9.83,US,1693438621
359,primero de mayo,-32.2552,-58.4228,17.53,67,17,2.88,AR,1693438665
360,carutapera,-1.195,-46.02,26.42,77,1,3.9,BR,1693438666
361,long xuyen,10.3833,105.4167,24.97,79,98,4.19,VN,1693438667
362,rouissat,31.9243,5.3502,27.04,65,40,0.0,DZ,1693438667
363,thunder bay,48.4001,-89.3168,22.99,49,20,3.09,CA,1693438505
364,palmer,42.1584,-72.3287,23.78,62,40,6.17,US,1693438669
365,kapa'a,22.0752,-159.319,30.18,79,40,6.69,US,1693438669
